Nome,Preço,URL
Amplificador + contrabaixo Fender,R$ 2.500,https://www.facebook.com/marketplace/item/417800050541051/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vendo Baixo Yamaha RBX 765A,R$ 3.200,https://www.facebook.com/marketplace/item/1536648490150082/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra baixo strinberg clb24a Ativo 4 cordas vermelho top! [hidden information],R$ 700,https://www.facebook.com/marketplace/item/1252214478750103/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Caixa de som,R$ 260,https://www.facebook.com/marketplace/item/1030755694566461/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Tagima Tjb5 Seymour Duncan,R$ 2.500,https://www.facebook.com/marketplace/item/1145089189458977/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Warvick Corvette com circuito Deoliveira muito som,R$ 4.200,https://www.facebook.com/marketplace/item/1262254028061198/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Vende/troca,R$ 900,https://www.facebook.com/marketplace/item/1256525418278846/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
CONTRA BAIXO SHAPER 5 CORDAS - ESTUDO TROCAS CUBO DE BAIXO,R$ 850,https://www.facebook.com/marketplace/item/1165188847502175/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Tagima Millenium 6 Cordas,R$ 1.199,https://www.facebook.com/marketplace/item/213960361223261/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo condor,Gratuito,https://www.facebook.com/marketplace/item/6191170747610259/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Baixo Fender Telecaster Precision 1968 relic,R$ 5.000,https://www.facebook.com/marketplace/item/885329346095511/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Sterling SUB by Music Man,R$ 3.900,https://www.facebook.com/marketplace/item/732639518377047/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Pedaleira Boss ME-20B Bass,R$ 700,https://www.facebook.com/marketplace/item/711165833989555/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contra-baixo Memphis Taguma Tb 540 5 Cordas,R$ 750,https://www.facebook.com/marketplace/item/545429211063610/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
Contrabaixo Handmade,R$ 450,https://www.facebook.com/marketplace/item/976228976701654/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
pedal duplo,Gratuito,https://www.facebook.com/marketplace/item/544284570971982/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A605e8f9f-e5d8-4a38-abc3-87293263b3e3&__tn__=!%3AD
